Model,Type,Magnification,AUC_mean,AUC_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
ResNet50,Convolution,40x,0.89,0.04,0.74,0.10,0.75,0.09,0.89,0.04,0.61,0.19
ResNet50,Convolution,20x,0.90,0.10,0.79,0.10,0.80,0.09,0.75,0.26,0.85,0.15
ResNet50,Convolution,10x,0.66,0.23,0.65,0.16,0.69,0.13,0.42,0.27,0.95,0.02
ResNet50,Convolution,5x,0.62,0.22,0.64,0.12,0.68,0.08,0.42,0.20,0.93,0.12
DenseNet121,Convolution,40x,0.90,0.03,0.71,0.02,0.72,0.02,0.94,0.02,0.52,0.03
DenseNet121,Convolution,20x,0.91,0.05,0.79,0.08,0.79,0.07,0.92,0.01,0.67,0.14
DenseNet121,Convolution,10x,0.80,0.08,0.67,0.12,0.70,0.09,0.41,0.19,0.99,0.01
DenseNet121,Convolution,5x,0.82,0.02,0.77,0.03,0.78,0.02,0.55,0.05,1.00,0.00
VGG16,Convolution,40x,0.89,0.04,0.84,0.02,0.84,0.02,0.83,0.06,0.84,0.06
VGG16,Convolution,20x,0.78,0.01,0.76,0.02,0.76,0.02,0.64,0.02,0.87,0.05
VGG16,Convolution,10x,0.78,0.06,0.75,0.03,0.75,0.03,0.70,0.00,0.80,0.06
VGG16,Convolution,5x,0.70,0.08,0.77,0.05,0.79,0.04,0.57,0.08,1.00,0.00
ViT Base,Transformer,40x,0.93,0.02,0.86,0.01,0.86,0.01,0.83,0.02,0.88,0.02
ViT Base,Transformer,20x,0.84,0.03,0.77,0.03,0.77,0.03,0.64,0.04,0.90,0.04
ViT Base,Transformer,10x,0.67,0.04,0.63,0.03,0.64,0.03,0.45,0.04,0.83,0.02
ViT Base,Transformer,5x,0.82,0.09,0.71,0.02,0.73,0.02,0.50,0.05,0.95,0.04
Swin Base,Transformer,40x,0.90,0.03,0.81,0.04,0.81,0.04,0.81,0.07,0.81,0.06
Swin Base,Transformer,20x,0.77,0.16,0.73,0.12,0.74,0.11,0.59,0.22,0.88,0.03
Swin Base,Transformer,10x,0.87,0.02,0.77,0.02,0.77,0.02,0.68,0.06,0.86,0.07
Swin Base,Transformer,5x,0.81,0.06,0.73,0.04,0.75,0.03,0.49,0.07,1.00,0.00
EdgeNeXt XX Small,Hybrid,40x,0.81,0.03,0.69,0.02,0.69,0.03,0.60,0.05,0.77,0.07
EdgeNeXt XX Small,Hybrid,20x,0.84,0.08,0.77,0.06,0.78,0.05,0.56,0.12,0.98,0.02
EdgeNeXt XX Small,Hybrid,10x,0.70,0.02,0.67,0.01,0.69,0.01,0.42,0.01,0.95,0.02
EdgeNeXt XX Small,Hybrid,5x,0.69,0.01,0.67,0.02,0.69,0.01,0.41,0.02,0.97,0.00
EfficientVit B0,Hybrid,40x,0.92,0.02,0.83,0.05,0.83,0.05,0.89,0.03,0.78,0.11
EfficientVit B0,Hybrid,20x,0.82,0.08,0.72,0.05,0.73,0.05,0.55,0.07,0.91,0.06
EfficientVit B0,Hybrid,10x,0.86,0.13,0.79,0.07,0.79,0.07,0.66,0.11,0.92,0.06
EfficientVit B0,Hybrid,5x,0.47,0.20,0.42,0.14,0.45,0.15,0.26,0.16,0.65,0.26
LeViT conv 128,Hybrid,40x,0.94,0.02,0.84,0.06,0.84,0.06,0.91,0.03,0.77,0.14
LeViT conv 128,Hybrid,20x,0.83,0.05,0.78,0.04,0.78,0.04,0.67,0.08,0.89,0.04
LeViT conv 128,Hybrid,10x,0.78,0.05,0.73,0.04,0.75,0.03,0.51,0.05,0.98,0.02
LeViT conv 128,Hybrid,5x,0.71,0.18,0.74,0.11,0.76,0.09,0.52,0.18,1.00,0.00
LHE,Ensemble,40x,0.95,0.01,0.89,0.04,0.89,0.04,0.90,0.02,0.88,0.09
LHE,Ensemble,20x,0.91,0.03,0.79,0.04,0.79,0.04,0.61,0.08,0.97,0.02
LHE,Ensemble,10x,0.88,0.06,0.76,0.04,0.78,0.04,0.55,0.07,1.00,0.00
LHE,Ensemble,5x,0.69,0.11,0.72,0.07,0.74,0.06,0.48,0.12,0.98,0.02
